,category,label,ask,ask_keyword,class_id,class
0,食物,food,隔夜茶能不能喝？,"隔夜茶,能,不能,喝",1,other
1,人格信息描述,profile,你可以失灵,"你,可以,失灵",0,profile
2,人格信息描述,profile,你能呼吸,"你,能,呼吸",0,profile
3,历史,history,中华民国的国父是谁？,"中华民国,的,国父,是,谁",1,other
4,食物,food,樱桃有什么营养,"樱桃,有,什么,营养",1,other
5,科学,science,什么是波长？,"什么,是,波长",1,other
6,人格信息描述,profile,你不害臊,"你,不,害臊",0,profile
7,食物,food,大蒜有什么营养,"大蒜,有,什么,营养",1,other
8,人格信息描述,profile,你运行在什么操作系统上？,"你,运行,什么,操作系统,上",0,profile
9,人格信息描述,profile,你可以行走吗,"你,可以,行走",0,profile
10,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
11,人格信息描述,profile,你是人是鬼是男是女?快快道来,"你,是,人,是,鬼,是,男,是,女,快快,道,来",0,profile
12,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
13,历史,history,美国是在哪年哪天独立的？,"美国,是,哪年,哪天,独立,的",1,other
14,人格信息描述,profile,你的生日是什么时候,"你,的,生日,是,什么,时候",0,profile
15,人格信息描述,profile,你叫啥,"你,叫,啥",0,profile
16,人格信息描述,profile,你有什么特长,"你,有,什么,特长",0,profile
17,人格信息描述,profile,谁是你的父亲,"谁,是,你,的,父亲",0,profile
18,人格信息描述,profile,我可以调戏你吗,"我,可以,调戏,你",0,profile
19,科学,science,什么是阿伏伽德罗的号码？,"什么,是,阿伏,伽,德罗,的,号码",1,other
20,食物,food,花椰菜有什么营养,"花椰菜,有,什么,营养",1,other
21,人格信息描述,profile,你家几口人,"你家,几口,人",0,profile
22,科学,science,什么是热力学定律？,"什么,是,热力学,定律",1,other
23,人格信息描述,profile,你是男的,"你,是,男,的",0,profile
24,人格信息描述,profile,我喜欢你,"我,喜欢,你",0,profile
25,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
26,人格信息描述,profile,你生气是什么样的？,"你,生气,是,什么样,的",0,profile
27,人格信息描述,profile,你认识我么,"你,认识,我么",0,profile
28,人格信息描述,profile,你在干什么？,"你,干什么",0,profile
29,食物,food,西餐菜品的顺序,"西餐,菜品,的,顺序",1,other
30,人格信息描述,profile,您穿什么尺码的鞋子,"您,穿,什么,尺码,的,鞋子",0,profile
31,人格信息描述,profile,你好可爱,"你好,可爱",0,profile
32,人格信息描述,profile,你写的是什么语言,"你,写,的,是,什么,语言",0,profile
33,人格信息描述,profile,你的机器人身体是什么,"你,的,机器人,身体,是,什么",0,profile
34,科学,science,蛋白质主要由什么组成？,"蛋白质,主要,什么,组成",1,other
35,人格信息描述,profile,你是白痴么,"你,是,白痴",0,profile
36,食物,food,五仁是哪些?,"五仁,是,哪些",1,other
37,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
38,人格信息描述,profile,你真的好闲,"你,真的,好,闲",0,profile
39,科学,science,光在真空中的传播速度？,"光,真空,中,的,传播速度",1,other
40,历史,history,什么叫历史遗留危险废物,"什么,叫,历史,遗留,危险废物",1,other
41,人格信息描述,profile,你知道我是谁么！,"你,知道,我,是,谁么",0,profile
42,科学,science,大数据包括那些特点,"大,数据,包括,那些,特点",1,other
43,历史,history,什么叫做封建社会,"什么,叫做,封建社会",1,other
44,人格信息描述,profile,你好吗?,你好,0,profile
45,人格信息描述,profile,你怎么能同时和这么多人聊,"你,怎么,能,同时,和,这么,多,人,聊",0,profile
46,科学,science,什么是万有引力？,"什么,是,万有引力",1,other
47,人格信息描述,profile,你可以去吗,"你,可以,去",0,profile
48,历史,history,中共革命根据地是哪里？,"革命,根据地,是,哪里",1,other
49,笑话,joke,笑话,笑话,1,other
50,人格信息描述,profile,你真可爱,"你,真,可爱",0,profile
51,人格信息描述,profile,你是狗嘴吐不出象牙,"你,是,狗嘴吐不,出,象牙",0,profile
52,人格信息描述,profile,我猜你是公的,"我,猜,你,是,公,的",0,profile
53,科学,science,什么是波长？,"什么,是,波长",1,other
54,科学,science,什么是化学？,"什么,是,化学",1,other
55,科学,science,什么是惯性定律,"什么,是,惯性定律",1,other
56,人格信息描述,profile,那你有男朋友么,"那,你,有,男朋友",0,profile
57,人格信息描述,profile,你不是不朽的,"你,不是,不朽,的",0,profile
58,科学,science,什么是牛顿第二定律,"什么,是,牛顿,第二,定律",1,other
59,笑话,joke,笑话,笑话,1,other
60,人格信息描述,profile,你是一个人工语言实体,"你,是,一个,人工,语言,实体",0,profile
61,食物,food,鲜枣应该如何保存啊？,"鲜枣,应该,如何,保存,啊",1,other
62,人格信息描述,profile,谁是你妈妈,"谁,是,你,妈妈",0,profile
63,人格信息描述,profile,你是不朽的,"你,是,不朽,的",0,profile
64,人格信息描述,profile,你是什么类型的计算机,"你,是,什么,类型,的,计算机",0,profile
65,人格信息描述,profile,你会不会生气,"你,会,不会,生气",0,profile
66,人格信息描述,profile,你好,你好,0,profile
67,人格信息描述,profile,你喝酒吗,"你,喝酒",0,profile
68,人格信息描述,profile,小通！你今年几岁了,"小通,你,今年,几岁,了",0,profile
69,历史,history,历史上哪些朝代在南京定都？,"历史,上,哪些,朝代,南京,定都",1,other
70,历史,history,滑铁卢战役发生在什么年代？,"滑铁卢战役,发生,什么,年代",1,other
71,历史,history,南京大屠杀死了多少人?,"南京大屠杀,死,了,多少,人",1,other
72,人格信息描述,profile,你好吗?,你好,0,profile
73,人格信息描述,profile,小通,小通,0,profile
74,食物,food,葡萄酒的正确喝法,"葡萄酒,的,正确,喝",1,other
75,科学,science,什么是黑洞？,"什么,是,黑洞",1,other
76,笑话,joke,"我不开心,你讲个笑话","我,不,开心,你,讲,个,笑话",1,other
77,历史,history,宋朝第一个皇帝叫什么名字,"宋朝,第一个,皇帝,叫,什么,名字",1,other
78,人格信息描述,profile,你都知道什么？,"你,都,知道,什么",0,profile
79,人格信息描述,profile,为什么你不能吃,"为什么,你,不能,吃",0,profile
80,食物,food,土豆有什么营养,"土豆,有,什么,营养",1,other
81,历史,history,秦始皇什么时候统一中国,"秦始皇,什么,时候,统一,中国",1,other
82,科学,science,数据库事务四大特性是什么？,"数据库,事务,特性,是,什么",1,other
83,人格信息描述,profile,你什么时候睡觉,"你,什么,时候,睡觉",0,profile
84,人格信息描述,profile,你的脸在哪,"你,的,脸,哪",0,profile
85,科学,science,什么是细菌学？,"什么,是,细菌学",1,other
86,历史,history,鸦片战争是哪一年？,"鸦片战争,是,哪一年",1,other
87,笑话,joke,讲个笑话,"讲,个,笑话",1,other
88,人格信息描述,profile,你喜欢成为一个ChatterBot,"你,喜欢,成为,一个",0,profile
89,食物,food,长寿类食物有哪些？,"长寿,类,食物,有,哪些",1,other
90,人格信息描述,profile,你为什么喜欢我,"你,为什么,喜欢,我",0,profile
91,人格信息描述,profile,你是人还是机器,"你,是,人,还是,机器",0,profile
92,人格信息描述,profile,你是用什么语言写的？,"你,是,什么,语言,写,的",0,profile
93,人格信息描述,profile,嫁给我,"嫁给,我",0,profile
94,历史,history,秦兵马俑在哪?,"秦兵马俑,哪",1,other
95,人格信息描述,profile,你起来好早,"你,起来,好,早",0,profile
96,科学,science,什么是负载均衡,"什么,是,负载,均衡",1,other
97,人格信息描述,profile,想知道,"想,知道",0,profile
98,人格信息描述,profile,你会死,"你,会,死",0,profile
99,笑话,joke,讲个笑话,"讲,个,笑话",1,other
100,食物,food,毛豆有什么营养,"毛豆,有,什么,营养",1,other
101,历史,history,什么是历史？,"什么,是,历史",1,other
102,笑话,joke,讲个笑话先,"讲,个,笑话,先",1,other
103,笑话,joke,你的笑话太冷了,"你,的,笑话,太冷,了",1,other
104,人格信息描述,profile,你为什么不能吃,"你,为什么,不能,吃",0,profile
105,人格信息描述,profile,你是什么样的电脑,"你,是,什么样,的,电脑",0,profile
106,人格信息描述,profile,你会说英语吗？,"你,会,说,英语",0,profile
107,人格信息描述,profile,你经历能源短缺？,"你,经历,能源,短缺",0,profile
108,历史,history,世界第一台计算机诞生时间？,"世界,第一台,计算机,诞生,时间",1,other
109,历史,history,谁是美国第37届总统?,"谁,是,美国,第,37,届,总统",1,other
110,人格信息描述,profile,小通，你妈是谁呀？,"小通,你,妈,是,谁",0,profile
111,人格信息描述,profile,你脸皮怎么这么厚,"你,脸皮,怎么,这么,厚",0,profile
112,人格信息描述,profile,小通,小通,0,profile
113,人格信息描述,profile,你为什么那么可爱,"你,为什么,那么,可爱",0,profile
114,人格信息描述,profile,你什么时候走,"你,什么,时候,走",0,profile
115,食物,food,冬季不能吃什么食物？,"冬季,不能,吃,什么,食物",1,other
116,人格信息描述,profile,你怎么什么都知道,"你,怎么,什么,都,知道",0,profile
117,历史,history,太空竞赛是哪两个冷战对手之间，在20世纪航天能力的霸主地位上的竞争?,"太空,竞赛,是,哪,两个,冷战,对手,之间,20,世纪,航天,能力,的,霸主,地位,上,的,竞争",1,other
118,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
119,科学,science,什么是chatbot？,"什么,是",1,other
120,笑话,joke,讲个笑话,"讲,个,笑话",1,other
121,人格信息描述,profile,小通，你有姐妹吗？,"小通,你,有,姐妹",0,profile
122,食物,food,草莓有什么营养,"草莓,有,什么,营养",1,other
123,历史,history,历史上南京还有别的称呼吗？,"历史,上,南京,还有,别的,称呼",1,other
124,人格信息描述,profile,你好逗啊,"你好,逗",0,profile
125,人格信息描述,profile,你不能克隆,"你,不能,克隆",0,profile
126,食物,food,冰糖有什么功效,"冰糖,有,什么,功效",1,other
127,人格信息描述,profile,你喝酒吗？,"你,喝酒",0,profile
128,人格信息描述,profile,你的兴趣是什么,"你,的,兴趣,是,什么",0,profile
129,人格信息描述,profile,你不能动,"你,不能,动",0,profile
130,人格信息描述,profile,小通,小通,0,profile
131,人格信息描述,profile,那你给我滚一个看看,"那,你,我,滚,一个,看看",0,profile
132,人格信息描述,profile,你是一台电脑,"你,是,一台,电脑",0,profile
133,科学,science,糖类的主要作用是什么,"糖类,的,主要,作用,是,什么",1,other
134,人格信息描述,profile,你是什么性别,"你,是,什么,性别",0,profile
135,食物,food,白菜有什么营养,"白菜,有,什么,营养",1,other
136,科学,science,声音在空气中传播的速度是多少？,"声音,空气,中,传播,的,速度,是,多少",1,other
137,人格信息描述,profile,你能移动吗？,"你,能,移动",0,profile
138,食物,food,鱼肚是什么,"鱼肚,是,什么",1,other
139,科学,science,什么是晶体？,"什么,是,晶体",1,other
140,人格信息描述,profile,你是不是傻,"你,是不是,傻",0,profile
141,人格信息描述,profile,你是谁发明的,"你,是,谁,发明,的",0,profile
142,科学,science,太阳是离地球有多远？,"太阳,是,离,地球,有,多,远",1,other
143,科学,science,什么是噪声？,"什么,是,噪声",1,other
144,人格信息描述,profile,你什么时候死,"你,什么,时候,死",0,profile
145,人格信息描述,profile,"小通, 在吗？",小通,0,profile
146,笑话,joke,我超级无聊。你给我讲个笑话,"我,超级,无聊,你,我,讲,个,笑话",1,other
147,历史,history,武汉为什么称为九省通衢,"武汉,为什么,称为,九省,通衢",1,other
148,人格信息描述,profile,听说非礼你挺有意思的,"听说,非礼,你,挺,有意思,的",0,profile
149,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
150,历史,history,谁发明了蒸汽机,"谁,发明,了,蒸汽机",1,other
151,人格信息描述,profile,你叫什么名字？,"你,叫,什么,名字",0,profile
152,科学,science,什么是细胞学？,"什么,是,细胞学",1,other
153,科学,science,什么是生物信息学？,"什么,是,生物,信息学",1,other
154,人格信息描述,profile,你是什么样的计算机,"你,是,什么样,的,计算机",0,profile
155,食物,food,隔夜的鸡蛋不能吃?,"隔夜,的,鸡蛋,不能,吃",1,other
156,人格信息描述,profile,"小通同学,你有女朋友么","小通,同学,你,有,女朋友",0,profile
157,人格信息描述,profile,你的想法是什么,"你,的,想法,是,什么",0,profile
158,人格信息描述,profile,你的设计人是谁,"你,的,设计,人,是,谁",0,profile
159,历史,history,谁发明了电灯泡,"谁,发明,了,电灯泡",1,other
160,历史,history,圆明园是清代什么年间建造的,"圆明园,是,清代,什么,年间,建造,的",1,other
161,科学,science,月亮离地球有多远？,"月亮,离,地球,有,多,远",1,other
162,人格信息描述,profile,你是男森还是女森,"你,是,男,森,还是,女,森",0,profile
163,人格信息描述,profile,你是公的还是母的,"你,是,公,的,还是,母,的",0,profile
164,人格信息描述,profile,你是小笨蛋,"你,是,小笨蛋",0,profile
165,科学,science,组成细胞的化合物有哪些？,"组成,细胞,的,化合物,有,哪些",1,other
166,科学,science,什么是高可用性,"什么,是,高可用性",1,other
167,人格信息描述,profile,你智商有多少,"你,智商,有,多少",0,profile
168,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
169,人格信息描述,profile,你会什么乐器,"你,会,什么,乐器",0,profile
170,食物,food,过期的酸奶有什么用处,"过期,的,酸奶,有,什么,用处",1,other
171,人格信息描述,profile,你能控制,"你,能,控制",0,profile
172,人格信息描述,profile,你是男生女生,"你,是,男生女生",0,profile
173,人格信息描述,profile,你能弯腰吗,"你,能,弯腰",0,profile
174,人格信息描述,profile,我如何使用您的产品,"我,如何,使用,您,的,产品",0,profile
175,人格信息描述,profile,请问你有脖子嘛,"请问,你,有,脖子",0,profile
176,食物,food,什么是食物？,"什么,是,食物",1,other
177,人格信息描述,profile,你有QQ号吗？,"你,有,QQ号",0,profile
178,人格信息描述,profile,你是不是傻,"你,是不是,傻",0,profile
179,笑话,joke,我很烦啊。给我讲个笑话,"我,很烦,啊,我,讲,个,笑话",1,other
180,人格信息描述,profile,你好聪明,"你好,聪明",0,profile
181,人格信息描述,profile,你听起来像数据,"你,听,起来,像,数据",0,profile
182,历史,history,丽江古城始建于哪个朝代？,"丽江,古城,始建,哪个,朝代",1,other
183,食物,food,虾有什么营养,"虾,有,什么,营养",1,other
184,食物,food,猕猴桃有什么营养,"猕猴桃,有,什么,营养",1,other
185,人格信息描述,profile,你知道电力吗？,"你,知道,电力",0,profile
186,人格信息描述,profile,想揍你,"想,揍,你",0,profile
187,人格信息描述,profile,你的号码是多少,"你,的,号码,是,多少",0,profile
188,人格信息描述,profile,"请问小通,你是哪里人","请问,小通,你,是,哪里,人",0,profile
189,人格信息描述,profile,你有兄弟,"你,有,兄弟",0,profile
190,人格信息描述,profile,在干嘛,干嘛,0,profile
191,历史,history,第一颗人造地球卫星的名称是什么?,"第一颗,人造地球,卫星,的,名称,是,什么",1,other
192,笑话,joke,来个笑话,"来,个,笑话",1,other
193,人格信息描述,profile,你能死吗,"你,能,死",0,profile
194,人格信息描述,profile,你到底是人还是机器,"你,到底,是,人,还是,机器",0,profile
195,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
196,人格信息描述,profile,小通你来自哪里？,"小通,你,来自,哪里",0,profile
197,食物,food,海带有什么营养,"海带,有,什么,营养",1,other
198,人格信息描述,profile,干嘛呢你,"干嘛,你",0,profile
199,历史,history,中国古代四大发明有哪些？,"中国,古代,四大发明,有,哪些",1,other
200,人格信息描述,profile,小通,小通,0,profile
201,人格信息描述,profile,你是公的还是母的,"你,是,公,的,还是,母,的",0,profile
202,人格信息描述,profile,请问你是公的还是母的？,"请问,你,是,公,的,还是,母,的",0,profile
203,人格信息描述,profile,你是怎么回的这么快的,"你,是,怎么,回,的,这么,快,的",0,profile
204,科学,science,什么是人工智能？,"什么,是,人工智能",1,other
205,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
206,食物,food,什么食物擦脸对脸皮肤好,"什么,食物,擦,脸,皮肤,好",1,other
207,人格信息描述,profile,你想跟多少人聊天,"你,想,多少,人,聊天",0,profile
208,人格信息描述,profile,你的业务是什么,"你,的,业务,是,什么",0,profile
209,食物,food,致癌类的食物有哪些？,"致癌,类,的,食物,有,哪些",1,other
210,人格信息描述,profile,你真的好萌呀么么哒,"你,真的,好,萌",0,profile
211,人格信息描述,profile,你怎么知道的呢？,"你,怎么,知道,的",0,profile
212,人格信息描述,profile,你支持什么类型的电脑,"你,支持,什么,类型,的,电脑",0,profile
213,人格信息描述,profile,你有女朋友么,"你,有,女朋友",0,profile
214,人格信息描述,profile,你几岁啦？,"你,几岁",0,profile
215,科学,science,什么是ai,"什么,是",1,other
216,人格信息描述,profile,你说一句,"你,说,一句",0,profile
217,人格信息描述,profile,你怎么知道的呢,"你,怎么,知道,的",0,profile
218,人格信息描述,profile,我可以追你吗,"我,可以,追,你",0,profile
219,人格信息描述,profile,你有薪水吗？,"你,有,薪水",0,profile
220,人格信息描述,profile,你最喜欢的爱好是什么,"你,最,喜欢,的,爱好,是,什么",0,profile
221,人格信息描述,profile,你没有意义,"你,没有,意义",0,profile
222,人格信息描述,profile,请问你是女的不,"请问,你,是,女,的,不",0,profile
223,科学,science,什么是聊天机器人？,"什么,是,聊天,机器人",1,other
224,食物,food,解酒的食物有哪些？,"解酒,的,食物,有,哪些",1,other
225,人格信息描述,profile,你能交配,"你,能,交配",0,profile
226,人格信息描述,profile,那你有男朋友么,"那,你,有,男朋友",0,profile
227,人格信息描述,profile,你又跑哪里去,"你,又,跑,哪里,去",0,profile
228,人格信息描述,profile,你能做什么呢？,"你,能,做,什么",0,profile
229,科学,science,什么是热力学？,"什么,是,热力学",1,other
230,人格信息描述,profile,你能移动,"你,能,移动",0,profile
231,笑话,joke,讲个笑话,"讲,个,笑话",1,other
232,人格信息描述,profile,你猜,"你,猜",0,profile
233,人格信息描述,profile,你读过的共产党员,"你,读,过,的,共产党员",0,profile
234,人格信息描述,profile,你这会儿在干嘛,"你,这会儿,干嘛",0,profile
235,历史,history,谁发明了世界上第一台计算机？,"谁,发明,了,世界,上,第一台,计算机",1,other
236,人格信息描述,profile,你好可爱,"你好,可爱",0,profile
237,历史,history,中华民国74年总统是谁？,"中华民国,74,年,总统,是,谁",1,other
238,人格信息描述,profile,你会聊点啥,"你,会,聊,点,啥",0,profile
239,历史,history,古代妇女的四德是指哪些？,"古代,妇女,的,四德,是,指,哪些",1,other
240,人格信息描述,profile,你好吃吗←_←,"你,好吃",0,profile
241,人格信息描述,profile,你收入多少,"你,收入,多少",0,profile
242,人格信息描述,profile,早上好，你好吗?,"早上好,你好",0,profile
243,历史,history,二战时德国共投入多少兵力？,"二战,时,德国,共,投入,多少,兵力",1,other
244,人格信息描述,profile,我喜欢你,"我,喜欢,你",0,profile
245,人格信息描述,profile,描述一下你自己,"描述,一下,你,自己",0,profile
246,人格信息描述,profile,亲爱的小通,"亲爱,的,小通",0,profile
247,笑话,joke,给我讲一个笑话，换一个笑话,"我,讲,一个,笑话,换,一个,笑话",1,other
248,食物,food,食物的五味？,"食物,的,五味",1,other
